时间(s),X坐标(m),Y坐标(m)
584.3753250000002,-1.1381106671768473,3.383054762812173
584.4753250000002,-1.1408646092437214,3.3781456416747924
584.5753250000002,-1.143608866729963,3.373230756703305
584.6753250000003,-1.1463434276182973,3.3683101270158606
584.7753250000003,-1.1490682799075977,3.3633837717412565
584.8753250000003,-1.1517834116204329,3.358451710023891
584.9753250000003,-1.154488810839844,3.3535139610481997
585.0753250000004,-1.1571844656687367,3.3485705440117632
585.1753250000004,-1.1598703642630115,3.3436214781467717
585.2753250000004,-1.1625464948060684,3.3386667827033474
585.3753250000004,-1.1652128455213864,3.3337064769577127
585.4753250000005,-1.1678694046756535,3.3287405802138763
585.5753250000005,-1.1705161605658971,3.32376911179555
585.6753250000005,-1.1731531015325278,3.318792091054051
585.7753250000005,-1.1757802159555988,3.3138095373661143
585.8753250000005,-1.178397492243438,3.3088214701263716
585.9753250000006,-1.1810049188594318,3.3038279087642533
586.0753250000006,-1.1836024842859607,3.2988288727211987
586.1753250000006,-1.186190177060782,3.293824381473284
586.2753250000006,-1.188767985749826,3.288814454514169
586.3753250000007,-1.1913358989591907,3.2837991113625273
586.4753250000007,-1.193893905338675,3.2787783715639147
586.5753250000007,-1.196441993568945,3.2737522546830564
586.6753250000007,-1.1989801523746366,3.268720780311436
586.7753250000007,-1.2015083705205183,3.263683968065157
586.8753250000008,-1.2040266367999952,3.2586418375776507
586.9753250000008,-1.2065349400622574,3.2535944085160544
587.0753250000008,-1.2090332691757384,3.24854170055914
587.1753250000008,-1.2115216130649575,3.2434837334192137
587.2753250000009,-1.2139999606829703,3.2384205268256085
587.3753250000009,-1.2164683010235169,3.2333521005318695
587.4753250000009,-1.2189266231245908,3.228278474317557
587.5753250000009,-1.2213749160554448,3.223199667980796
587.675325000001,-1.2238131689298521,3.2181157013455923
587.775325000001,-1.2262413709022288,3.213026594259766
587.875325000001,-1.2286595111559837,3.2079323665879
587.975325000001,-1.2310675789310057,3.202833038227175
588.075325000001,-1.233465563486667,3.197728629086031
588.1753250000011,-1.2358534541391142,3.19261915910532
588.2753250000011,-1.2382312402333824,3.1875046482423572
588.3753250000011,-1.2405989111556912,3.182385116477862
588.4753250000011,-1.2429564563370494,3.1772605838176844
588.5753250000012,-1.245303865240109,3.1721310702856194
588.6753250000012,-1.2476411273725758,3.1669965959304602
588.7753250000012,-1.249968232283288,3.1618571808240086
588.8753250000012,-1.2522851695504218,3.156712845054253
588.9753250000012,-1.2545919288093073,3.1515636087406538
589.0753250000013,-1.2568884997149883,3.1464094920135386
589.1753250000013,-1.2591748719799578,3.141250515034528
589.2753250000013,-1.2614510353459338,3.1360866979811255
589.3753250000013,-1.2637169795962988,3.130918061053422
589.4753250000014,-1.2659726945597425,3.1257446244757476
589.5753250000014,-1.2682181700969701,3.1205664084897498
589.6753250000014,-1.2704533961142581,3.1153834333611785
589.7753250000014,-1.2726783625594917,3.1101957193779715
589.8753250000015,-1.2748930594102277,3.1050032868436697
589.9753250000015,-1.2770974767018262,3.0998061560921526
590.0753250000015,-1.2792916044895852,3.094604347467773
590.1753250000015,-1.281475432886896,3.089397881345037
590.2753250000015,-1.2836489520367045,3.0841867781137506
590.3753250000016,-1.2858121521240897,3.078971058185477
590.4753250000016,-1.2879650233799391,3.0737507419951164
590.5753250000016,-1.2901075560675137,3.068525849994252
590.6753250000016,-1.2922397404961432,3.063296402657663
590.7753250000017,-1.2943615670172213,3.05806242048149
590.8753250000017,-1.296473026012139,3.052823923976886
590.9753250000017,-1.2985741079207187,3.047580933684189
591.0753250000017,-1.3006648032029395,3.0423334701538174
591.1753250000017,-1.302745102377493,3.03708155396518
591.2753250000018,-1.3048149959929418,3.031825205712402
591.3753250000018,-1.306874474640436,3.026564446010533
591.4753250000018,-1.3089235289574153,3.021299295497047
591.5753250000018,-1.3109621496140411,3.0160297748254496
591.6753250000019,-1.3129903273270194,3.0107559046715284
591.7753250000019,-1.3150080528555623,3.005477705731596
591.8753250000019,-1.31701531698919,3.0001951987163786
591.9753250000019,-1.319012110576462,2.9949084043646295
592.075325000002,-1.3209984244863038,2.989617343424775
592.175325000002,-1.3229742496469528,2.9843220366730705
592.275325000002,-1.324939577016821,2.9790225048998895
592.375325000002,-1.3268943975973424,2.9737187689156777
592.475325000002,-1.3288387024367034,2.968410849552388
592.5753250000021,-1.3307724826161438,2.963098767657356
592.6753250000021,-1.332695729263912,2.957782544099267
592.7753250000021,-1.3346084335511947,2.9524621997664866
592.8753250000021,-1.336510586679783,2.947137755561191
592.9753250000022,-1.3384021799110823,2.9418092324124094
593.0753250000022,-1.3402832045270645,2.9364766512584404
593.1753250000022,-1.3421536518695953,2.931140033064227
593.2753250000022,-1.3440135133110087,2.9257993988082314
593.3753250000022,-1.3458627802670753,2.9204547694881278
593.4753250000023,-1.3477014442007638,2.9151061661221664
593.5753250000023,-1.349529496608421,2.9097536097433263
593.6753250000023,-1.3513469290338453,2.904397121405001
593.7753250000023,-1.353153733064175,2.8990367221794053
593.8753250000024,-1.3549499003174403,2.8936724331519543
593.9753250000024,-1.3567354224718495,2.8883042754337276
594.0753250000024,-1.35851029122637,2.8829322701446687
594.1753250000024,-1.3602744983404151,2.8775564384301715
594.2753250000025,-1.362028035604145,2.8721768014485405
594.3753250000025,-1.3637708948515592,2.8667933803764316
594.4753250000025,-1.3655030679642854,2.8614061964101314
594.5753250000025,-1.3672245468576305,2.856015270759988
594.6753250000025,-1.3689353234947756,2.850620624655822
594.7753250000026,-1.3706353898826418,2.8452222793454123
594.8753250000026,-1.3723247380593182,2.839820256089125
594.9753250000026,-1.3740033601235995,2.8344145761717874
595.0753250000026,-1.3756712481952238,2.829005260886677
595.1753250000027,-1.3773283944549082,2.823592331551316
595.2753250000027,-1.378974791114387,2.818175809495527
595.3753250000027,-1.380610430429613,2.8127557160666115
595.4753250000027,-1.382235304704574,2.80733207263055
595.5753250000027,-1.383849406277238,2.8019049005667167
595.6753250000028,-1.3854527275338522,2.796474221272997
595.7753250000028,-1.3870452609047725,2.7910400561643702
595.8753250000028,-1.3886269988517856,2.7856024266677775
595.9753250000028,-1.3901979338978958,2.780161354233412
596.0753250000029,-1.3917580585872298,2.7747168603194985
596.1753250000029,-1.3933073655253985,2.769268966407294
596.2753250000029,-1.3948458473492855,2.7638176939897363
596.3753250000029,-1.3963734967403627,2.7583630645763586
596.475325000003,-1.3978903064285235,2.7529050996944155
596.575325000003,-1.3993962691779185,2.7474438208838756
596.675325000003,-1.4008913778013623,2.741979249702261
596.775325000003,-1.4023756251561421,2.736511407723307
596.875325000003,-1.4038490041312257,2.7310403165320833
596.9753250000031,-1.4053115076772833,2.7255659977356927
597.0753250000031,-1.4067631287662739,2.720088472948847
597.1753250000031,-1.408203860432125,2.714607763808059
597.2753250000031,-1.4096336957402824,2.7091238919609033
597.3753250000032,-1.4110526278011242,2.703636879070659
597.4753250000032,-1.412460649773819,2.6981467468173657
597.5753250000032,-1.4138577548520606,2.69265351689309
597.6753250000032,-1.4152439362785778,2.6871572110064808
597.7753250000032,-1.4166191873409142,2.6816578508815114
597.8753250000033,-1.4179835013585298,2.6761554582528615
597.9753250000033,-1.4193368717130455,2.6706500548760106
598.0753250000033,-1.4206792918075304,2.665141662513622
598.1753250000033,-1.4220107551074788,2.659630302948928
598.2753250000034,-1.4233312551101356,2.6541159979755884
598.3753250000034,-1.4246407853580099,2.6485987694020703
598.4753250000034,-1.4259393394427564,2.6430786390526304
598.5753250000034,-1.4272269109908071,2.6375556287628683
598.6753250000035,-1.4285034936779732,2.6320297603839844
598.7753250000035,-1.4297690812252006,2.6265010557816066
598.8753250000035,-1.4310236673855778,2.6209695368314287
598.9753250000035,-1.4322672459747952,2.6154352254287097
599.0753250000035,-1.4334998108301449,2.6098981434754647
599.1753250000036,-1.4347213558517717,2.604358312893029
599.2753250000036,-1.4359318749717904,2.5988157556125318
599.3753250000036,-1.4371313621678938,2.59327049357901
599.4753250000036,-1.4383198114672537,2.587722548752307
599.5753250000037,-1.4394972169320541,2.582171943102913
599.6753250000037,-1.4406635726741908,2.5766186986159347
599.7753250000037,-1.4418188728509995,2.571062837290004
599.8753250000037,-1.44296311165217,2.565504381133181
599.9753250000037,-1.4440962833304005,2.5599433521718344
600.0753250000038,-1.4452183821601343,2.554379772438663
600.1753250000038,-1.4463294024790814,2.548813663984431
600.2753250000038,-1.447429338657132,2.5432450488690597
600.3753250000038,-1.4485181851100433,2.5376739491654625
600.4753250000039,-1.4495959363033575,2.532100386960371
600.5753250000039,-1.450662586737862,2.5265243843504717
600.6753250000039,-1.4517181309643639,2.520945963446071
600.7753250000039,-1.452762563579395,2.515365146370091
600.875325000004,-1.4537958792120396,2.509781955254235
600.975325000004,-1.4548180725547821,2.5041964122472646
601.075325000004,-1.4558291383219861,2.4986085395038327
601.175325000004,-1.4568290712916614,2.4930183591953927
601.275325000004,-1.4578178662741896,2.4874258935019085
601.3753250000041,-1.4587955181260979,2.481831164615425
601.4753250000041,-1.4597620217539935,2.4762341947408117
601.5753250000041,-1.460717372099941,2.470635006092189
601.6753250000041,-1.4616615641563095,2.465033620896296
601.7753250000042,-1.4625945929614599,2.4594300613915747
601.8753250000042,-1.463516453586494,2.453824349824597
601.9753250000042,-1.4644271411662786,2.4482165084577256
602.0753250000042,-1.4653266508576852,2.4426065595587776
602.1753250000042,-1.4662149778815883,2.436994525411104
602.2753250000043,-1.4670921174914149,2.4313804283059186
602.3753250000043,-1.467958064986994,2.425764290545594
602.4753250000043,-1.4688128157185085,2.4201461344443205
602.5753250000043,-1.4696563650717924,2.4145259823248306
602.6753250000044,-1.4704887084832563,2.4089038565214738
602.7753250000044,-1.4713098414355552,2.4032797793793894
602.8753250000044,-1.4721197594442583,2.3976537732511902
602.9753250000044,-1.4729184580890338,2.3920258605039986
603.0753250000045,-1.4737059329716717,2.3863960635099533
603.1753250000045,-1.4744821797582972,2.380764404655447
603.2753250000045,-1.4752471941477572,2.375130906334088
603.3753250000045,-1.4760009718855378,2.369495590949719
